sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
36547419761,2022-04-18T07:58:30Z,84,21,22,41,71,53,0.07120743034055728
36536295848,2022-04-17T08:16:30Z,75,16,18,41,64,54,0.10433979686057249
36522976141,2022-04-16T07:56:30Z,85,22,21,42,89,56,0.07700312174817898
36514888643,2022-04-15T08:40:00Z,85,21,22,42,63,58,0.08618899273104881
36498019453,2022-04-14T07:39:30Z,77,23,14,40,107,56,0.06934673366834171
36485275445,2022-04-13T08:00:30Z,77,19,20,38,76,56,0.07057546145494029
36485275444,2022-04-12T07:48:00Z,74,21,18,35,60,56,0.06927374301675977
36456214348,2022-04-11T07:39:30Z,77,19,21,37,55,57,0.06513872135102533
36444303525,2022-04-10T09:24:30Z,81,22,15,44,98,57,0.1140562248995984
36430882561,2022-04-09T07:31:30Z,74,17,17,40,54,58,0.10979228486646884
36419123935,2022-04-08T07:09:30Z,82,21,22,39,68,61,0.0764904386951631
36404770770,2022-04-07T07:40:30Z,72,18,13,41,80,59,0.08713272543059777
36392951499,2022-04-06T07:53:30Z,71,17,14,40,66,58,0.08491508491508491
36378321331,2022-04-05T08:00:30Z,78,21,14,43,67,56,0.061356297093649086
36363590811,2022-04-04T07:21:30Z,77,22,20,35,105,57,0.08174692049272117
36350938229,2022-04-03T08:19:30Z,80,22,22,36,95,59,0.08359456635318704
36338202476,2022-04-02T07:24:30Z,69,18,15,36,109,57,0.07150480256136606
36314375077,2022-03-31T07:32:30Z,71,18,13,40,102,56,0.08245445829338446
36299559417,2022-03-30T07:41:30Z,74,16,22,36,65,57,0.06484641638225255
36288358844,2022-03-29T08:04:30Z,66,17,17,32,57,57,0.08695652173913043
36274507572,2022-03-28T07:30:30Z,77,21,19,37,59,57,0.0617678381256656
36262213762,2022-03-27T08:27:30Z,69,17,19,33,95,58,0.09924385633270322
36250150481,2022-03-26T07:29:30Z,74,18,19,37,71,58,0.0625
36237160282,2022-03-25T06:57:30Z,74,20,19,35,54,59,0.10410094637223975
36222869852,2022-03-24T07:32:30Z,84,21,17,46,82,58,0.061167747914735865
36210900684,2022-03-23T07:40:30Z,83,22,21,40,103,58,0.08341056533827618
36197220197,2022-03-22T07:40:30Z,79,17,22,40,94,58,0.07462686567164178
36181200086,2022-03-21T07:43:30Z,75,20,15,40,120,58,0.10474485228290063
36167185792,2022-03-20T07:33:30Z,66,16,17,33,42,57,0.08165680473372781
36154034936,2022-03-19T07:00:30Z,79,22,16,41,104,56,0.06514994829369183
36142750003,2022-03-18T07:09:30Z,78,18,18,42,69,56,0.09072375127421
36128698930,2022-03-17T07:14:30Z,87,21,21,45,66,57,0.08371246587807098
36116596408,2022-03-16T07:22:30Z,78,17,20,41,82,58,0.06917599186164802
36104812863,2022-03-15T07:36:30Z,70,21,15,34,79,57,0.09357997823721437
36089559776,2022-03-14T07:31:30Z,83,20,21,42,86,58,0.06811145510835913
36078558252,2022-03-13T09:53:30Z,70,15,15,40,49,57,0.08823529411764706
36064720946,2022-03-12T08:10:30Z,87,22,20,45,95,58,0.0760180995475113
36053550487,2022-03-11T08:34:30Z,84,21,18,45,68,58,0.09281164695177434
36039771971,2022-03-10T07:32:30Z,88,21,22,45,126,60,0.054694621695533276
36020753547,2022-03-09T07:06:30Z,74,18,17,39,99,61,0.08076514346439957
35968652436,2022-03-05T07:58:30Z,82,21,19,42,82,62,0.07918781725888324
35953238201,2022-03-04T07:07:30Z,67,17,15,35,66,60,0.07347876004592423
35941948006,2022-03-03T07:15:30Z,78,21,16,41,96,58,0.06867356538099718
35930158404,2022-03-02T08:15:30Z,76,18,19,39,88,58,0.07042253521126761
35915500770,2022-03-01T07:35:30Z,83,21,20,42,67,58,0.04675876726886291
35903035604,2022-02-28T07:21:30Z,74,17,20,37,58,59,0.08381171067738231
35890452823,2022-02-27T09:18:30Z,72,20,14,38,63,56,0.09259259259259259
35863468723,2022-02-25T06:38:30Z,75,17,21,37,51,57,0.07054871220604703
35824170805,2022-02-22T07:33:30Z,80,20,19,41,33,57,0.06562193927522038
35798698989,2022-02-20T07:20:30Z,72,21,17,34,55,57,0.06432748538011696
35786680591,2022-02-19T09:00:00Z,86,21,19,46,92,57,0.07277882797731569
35772785757,2022-02-18T08:10:30Z,78,21,16,41,70,57,0.09471585244267199
35758222731,2022-02-17T07:33:30Z,74,20,18,36,67,57,0.07604994324631101
35743097944,2022-02-16T07:59:30Z,80,23,19,38,108,57,0.08153701968134958
35729698095,2022-02-15T07:56:30Z,83,21,21,41,64,58,0.07050092764378478
35717756602,2022-02-14T07:51:00Z,72,18,19,35,76,58,0.08426395939086294
35704037568,2022-02-13T08:23:30Z,85,21,19,45,60,59,0.06694915254237288
35692374178,2022-02-12T09:53:30Z,78,21,16,41,92,58,0.0736318407960199
35680617835,2022-02-11T08:55:30Z,82,21,21,40,80,60,0.08874656907593778
35663781245,2022-02-10T07:37:30Z,83,22,22,39,101,61,0.06543075245365322
35652414327,2022-02-09T08:03:30Z,80,22,18,40,89,61,0.07565470417070805
35637148370,2022-02-08T07:58:30Z,80,20,18,42,82,61,0.06256306760847628
35622391815,2022-02-07T08:01:30Z,77,20,19,38,52,61,0.059371362048894066
35610591641,2022-02-06T09:10:30Z,76,21,14,41,73,59,0.06585612968591692
35596195155,2022-02-05T08:53:30Z,72,19,18,35,72,59,0.06826801517067003
35584172634,2022-02-04T08:12:30Z,73,19,18,36,96,59,0.06586169045005488
35557535437,2022-02-02T08:01:30Z,83,22,18,43,100,59,0.054910242872228086
35543959626,2022-02-01T08:09:00Z,81,21,19,41,54,59,0.06438213914849429
35527620217,2022-01-31T07:59:30Z,80,21,19,40,74,59,0.05849268841394826
35515106584,2022-01-30T08:31:30Z,85,21,22,42,88,61,0.052200614124872056
35492315669,2022-01-27T04:43:30Z,63,21,19,23,44,61,0.07393715341959335
35459043205,2022-01-26T08:01:30Z,78,20,17,41,102,60,0.0668724279835391
35447160862,2022-01-25T07:53:30Z,71,17,20,34,60,60,0.06841505131128849
35432574167,2022-01-24T07:54:30Z,72,19,20,33,70,60,0.08589607635206786
35419507677,2022-01-23T09:00:30Z,85,22,18,45,95,59,0.08421913327882256
35407125933,2022-01-22T09:39:30Z,86,23,17,46,111,59,0.06126126126126126
35392743858,2022-01-21T07:28:30Z,76,19,19,38,75,59,0.06364617044228695
35379906817,2022-01-20T07:54:30Z,79,22,16,41,85,59,0.06445497630331753
35365166824,2022-01-19T07:59:30Z,78,22,17,39,105,57,0.056105610561056105
35351894280,2022-01-18T07:58:30Z,66,15,20,31,37,57,0.058029689608636977
35339397142,2022-01-17T07:52:30Z,80,21,21,38,69,58,0.06235565819861432
35312208746,2022-01-15T07:45:30Z,61,17,10,34,70,57,0.14459049544994945
35300153302,2022-01-14T07:54:30Z,77,21,20,36,82,59,0.08970099667774087
35286627811,2022-01-13T08:03:30Z,76,22,16,38,88,59,0.06347554630593132
35273315368,2022-01-12T08:03:30Z,81,21,19,41,103,60,0.06352261790182868
35260754730,2022-01-11T08:02:30Z,73,17,21,35,77,61,0.06715634837355719
35246047575,2022-01-10T07:59:30Z,84,21,22,41,62,63,0.05578512396694215
35229931565,2022-01-09T09:09:30Z,76,19,19,38,107,65,0.08430493273542601
35206355120,2022-01-07T07:53:30Z,69,19,14,36,89,62,0.06673842841765339
35192400160,2022-01-06T08:08:30Z,80,21,17,42,58,62,0.0649895178197065
35178224341,2022-01-05T07:39:00Z,72,21,15,36,58,60,0.061923583662714096
35162392575,2022-01-04T07:39:00Z,81,22,21,38,91,62,0.06528835690968444
35150231442,2022-01-03T08:00:30Z,68,19,15,34,58,60,0.08010012515644556
35138104848,2022-01-02T09:19:30Z,84,19,20,45,81,61,0.06057945566286216
35124927124,2022-01-01T08:59:30Z,68,19,18,31,69,60,0.0811965811965812
35112992479,2021-12-31T09:02:30Z,88,22,20,46,86,61,0.052093023255813956
35099946113,2021-12-30T07:52:30Z,80,21,20,39,79,61,0.06206088992974239
35089210526,2021-12-29T09:59:30Z,78,17,21,40,85,63,0.09029779058597502
35073724060,2021-12-28T08:45:30Z,80,19,16,45,116,62,0.09511568123393316
35062952291,2021-12-27T08:51:30Z,83,21,21,41,78,62,0.06517690875232775
35050930734,2021-12-26T08:57:30Z,72,17,16,39,58,61,0.06397306397306397
35040863936,2021-12-25T08:31:30Z,82,21,22,39,73,61,0.07478890229191798
35028449036,2021-12-24T08:00:30Z,79,21,21,37,71,62,0.07917174177831912
35017744579,2021-12-23T08:06:30Z,78,17,20,41,68,62,0.08082901554404145
35005450675,2021-12-22T07:59:30Z,74,17,19,38,54,62,0.07915273132664437
34993176207,2021-12-21T07:56:30Z,78,20,21,37,74,62,0.08783068783068783
34982875349,2021-12-20T08:10:30Z,79,21,21,37,80,63,0.12263300270513977
34970534744,2021-12-19T07:57:30Z,71,21,15,35,80,61,0.0821917808219178
34959894841,2021-12-18T08:28:30Z,82,19,19,44,61,61,0.121131741821397
34947778364,2021-12-17T07:42:30Z,72,18,20,34,58,61,0.08155583437892096
34936301979,2021-12-16T07:44:30Z,82,21,19,42,74,60,0.054429028815368194
34921663398,2021-12-15T07:15:30Z,73,18,13,42,50,59,0.07543103448275862
34909111677,2021-12-14T08:07:30Z,69,20,13,36,53,57,0.09337676438653637
34898579413,2021-12-13T08:05:30Z,75,17,21,37,76,58,0.08135593220338982
34886863796,2021-12-12T09:30:30Z,85,20,21,44,92,60,0.0857392825896763
34875296420,2021-12-11T09:59:00Z,68,17,18,33,78,60,0.11079943899018233
34863544321,2021-12-10T08:39:30Z,83,21,19,43,132,61,0.1097666378565255
34849468006,2021-12-09T07:54:30Z,78,21,18,39,63,62,0.0966824644549763
